"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2000",55675111.4713286,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2001",56902065.4229371,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2002",58346368.0524248,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2003",60342053.1335222,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2004",63128665.3573602,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2005",65924663.3900713,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2006",69185956.3574211,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2007",72613689.5307601,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2008",74447960.1821954,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2009",73739749.2912177,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2010",77406243.655827,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2011",80466919.4021047,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2012",82902946.6805644,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2013",85549503.1724246,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2014",88486365.1847371,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2015",91587772.3492093,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2016",94509094.6430322,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2017",98062496.1421234,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2018",101695577.125605,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2019",104608770.218275,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2020",101207240.79817,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2021",107400073.967992,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2022",112421645.484062,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2023",116639700,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2024",120482500,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2025",124169900,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2026",127785200,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2027",131364800,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2028",134927800,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2029",138472900,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2030",141996300,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2031",145494000,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2032",148962000,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2033",152396000,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2034",155791000,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2035",159141900,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2036",162446100,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2037",165703500,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2038",168915800,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2039",172085400,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2040",175215500,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2041",178310200,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2042",181374000,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2043",184412000,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2044",187428600,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2045",190427900,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2046",193416000,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2047",196400900,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2048",199392200,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2049",202398900,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2050",205428600,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2051",208488500,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2052",211582900,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2053",214715400,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2054",217887200,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2055",221098900,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2056",224352300,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2057",227650300,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2058",230995300,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2059",234388700,
"WLD","GDPLTFORECAST","TOT","MLN_USD","A","2060",237830800,
