,LOCATION,TIME,Value
0,CAN,2020,1638195720000.0
1,CAN,2021,1738685474000.0
2,CAN,2022,1803949390000.0
3,CAN,2023,1845470000000.0
4,CAN,2024,1879382000000.0
5,CAN,2025,1910677000000.0
6,CAN,2026,1941028000000.0
7,CAN,2027,1971131000000.0
8,CAN,2028,2001342000000.0
9,CAN,2029,2031657000000.0
10,CAN,2030,2062052000000.0
11,CAN,2031,2092519000000.0
12,CAN,2032,2123074000000.0
13,CAN,2033,2153713000000.0
14,CAN,2034,2184405000000.0
15,CAN,2035,2215121000000.0
16,CAN,2036,2245861000000.0
17,CAN,2037,2276670000000.0
18,CAN,2038,2307601000000.0
19,CAN,2039,2338696000000.0
20,CAN,2040,2369987000000.0
21,CAN,2041,2401500000000.0
22,CAN,2042,2433262000000.0
23,CAN,2043,2465259000000.0
24,CAN,2044,2497441000000.0
25,CAN,2045,2529752000000.0
26,CAN,2046,2562170000000.0
27,CAN,2047,2594744000000.0
28,CAN,2048,2627496000000.0
29,CAN,2049,2660443000000.0
30,CAN,2050,2693609000000.0
31,CAN,2051,2727039000000.0
32,CAN,2052,2760775000000.0
33,CAN,2053,2794863000000.0
34,CAN,2054,2829321000000.0
35,CAN,2055,2864165000000.0
36,CAN,2056,2899452000000.0
37,CAN,2057,2935248000000.0
38,CAN,2058,2971639000000.0
39,CAN,2059,3008671000000.0
40,CAN,2060,3046355000000.0
41,FIN,2020,246452317300.0
42,FIN,2021,252828064600.0
43,FIN,2022,259614702500.0
44,FIN,2023,263691000000.0
45,FIN,2024,266977800000.0
46,FIN,2025,270100099999.99997
47,FIN,2026,273269000000.0
48,FIN,2027,276489300000.0
49,FIN,2028,279745300000.0
50,FIN,2029,283025600000.0
51,FIN,2030,286323500000.0
52,FIN,2031,289634100000.0
53,FIN,2032,292942400000.0
54,FIN,2033,296247900000.0
55,FIN,2034,299547500000.0
56,FIN,2035,302833300000.0
57,FIN,2036,306095000000.0
58,FIN,2037,309323400000.0
59,FIN,2038,312508700000.0
60,FIN,2039,315638700000.0
61,FIN,2040,318703300000.0
62,FIN,2041,321703000000.0
63,FIN,2042,324642400000.0
64,FIN,2043,327540500000.0
65,FIN,2044,330419100000.0
66,FIN,2045,333296300000.0
67,FIN,2046,336182300000.0
68,FIN,2047,339072500000.0
69,FIN,2048,341963400000.0
70,FIN,2049,344852900000.0
71,FIN,2050,347743800000.0
72,FIN,2051,350641700000.0
73,FIN,2052,353548400000.0
74,FIN,2053,356466100000.0
75,FIN,2054,359397700000.0
76,FIN,2055,362350300000.0
77,FIN,2056,365332700000.0
78,FIN,2057,368348300000.0
79,FIN,2058,371399400000.0
80,FIN,2059,374485900000.0
81,FIN,2060,377604100000.0
82,ISL,2020,18081837270.0
83,ISL,2021,18595619970.0
84,ISL,2022,19471164530.0
85,ISL,2023,20155740000.0
86,ISL,2024,20718900000.0
87,ISL,2025,21193610000.0
88,ISL,2026,21616730000.0
89,ISL,2027,22016010000.0
90,ISL,2028,22407430000.0
91,ISL,2029,22795220000.0
92,ISL,2030,23180800000.0
93,ISL,2031,23564630000.0
94,ISL,2032,23946500000.0
95,ISL,2033,24327000000.0
96,ISL,2034,24707510000.0
97,ISL,2035,25089710000.0
98,ISL,2036,25475010000.0
99,ISL,2037,25863960000.0
100,ISL,2038,26256420000.0
101,ISL,2039,26651990000.0
102,ISL,2040,27050300000.0
103,ISL,2041,27451040000.0
104,ISL,2042,27853600000.0
105,ISL,2043,28257220000.0
106,ISL,2044,28661320000.0
107,ISL,2045,29065760000.0
108,ISL,2046,29470660000.0
109,ISL,2047,29875880000.0
110,ISL,2048,30281170000.0
111,ISL,2049,30686480000.0
112,ISL,2050,31092060000.0
113,ISL,2051,31498310000.0
114,ISL,2052,31904760000.0
115,ISL,2053,32310940000.0
116,ISL,2054,32716470000.0
117,ISL,2055,33121379999.999996
118,ISL,2056,33526320000.0
119,ISL,2057,33931570000.0
120,ISL,2058,34337960000.0
121,ISL,2059,34746680000.0
122,ISL,2060,35159340000.0
123,ITA,2020,2127287785000.0002
124,ITA,2021,2222062508000.0
125,ITA,2022,2319555081000.0
126,ITA,2023,2358352000000.0
127,ITA,2024,2381006000000.0
128,ITA,2025,2400207000000.0
129,ITA,2026,2419400000000.0
130,ITA,2027,2439110000000.0
131,ITA,2028,2459268000000.0
132,ITA,2029,2479450000000.0
133,ITA,2030,2499387000000.0
134,ITA,2031,2519003000000.0
135,ITA,2032,2538250000000.0
136,ITA,2033,2557195000000.0
137,ITA,2034,2575930000000.0
138,ITA,2035,2594577000000.0
139,ITA,2036,2613308000000.0
140,ITA,2037,2632221000000.0
141,ITA,2038,2651463000000.0
142,ITA,2039,2671185000000.0
143,ITA,2040,2691580000000.0
144,ITA,2041,2712857000000.0
145,ITA,2042,2735116000000.0
146,ITA,2043,2758472000000.0
147,ITA,2044,2783027000000.0
148,ITA,2045,2808880000000.0
149,ITA,2046,2836098000000.0
150,ITA,2047,2864663000000.0
151,ITA,2048,2894576000000.0
152,ITA,2049,2925860000000.0
153,ITA,2050,2958571000000.0
154,ITA,2051,2992767000000.0
155,ITA,2052,3028468000000.0
156,ITA,2053,3065678000000.0
157,ITA,2054,3104397000000.0
158,ITA,2055,3144604000000.0
159,ITA,2056,3186243000000.0
160,ITA,2057,3229273000000.0
161,ITA,2058,3273632000000.0
162,ITA,2059,3319288000000.0
163,ITA,2060,3366218000000.0
164,MEX,2020,2190301417000.0
165,MEX,2021,2299481040000.0
166,MEX,2022,2372532896000.0
167,MEX,2023,2485282000000.0
168,MEX,2024,2592371000000.0
169,MEX,2025,2687380000000.0
170,MEX,2026,2772470000000.0
171,MEX,2027,2850996000000.0
172,MEX,2028,2926182000000.0
173,MEX,2029,2999927000000.0
174,MEX,2030,3073297000000.0
175,MEX,2031,3146855000000.0
176,MEX,2032,3220864000000.0
177,MEX,2033,3295445000000.0
178,MEX,2034,3370625000000.0
179,MEX,2035,3446378000000.0
180,MEX,2036,3522672000000.0
181,MEX,2037,3599450000000.0
182,MEX,2038,3676677000000.0
183,MEX,2039,3754303000000.0
184,MEX,2040,3832268000000.0
185,MEX,2041,3910525000000.0
186,MEX,2042,3989020000000.0
187,MEX,2043,4067706000000.0
188,MEX,2044,4146524000000.0
189,MEX,2045,4225422000000.0
190,MEX,2046,4304370000000.0
191,MEX,2047,4383344000000.0
192,MEX,2048,4462341000000.0
193,MEX,2049,4541342000000.0
194,MEX,2050,4620325000000.0
195,MEX,2051,4699274000000.0
196,MEX,2052,4778128000000.0
197,MEX,2053,4856853000000.0
198,MEX,2054,4935403000000.0
199,MEX,2055,5013762000000.0
200,MEX,2056,5091976000000.0
201,MEX,2057,5170140000000.0
202,MEX,2058,5248448000000.0
203,MEX,2059,5327178000000.0
204,MEX,2060,5406676000000.0
205,GBR,2020,2656128538000.0
206,GBR,2021,2848040891000.0
207,GBR,2022,3005308580000.0
208,GBR,2023,3075237000000.0
209,GBR,2024,3121279000000.0
210,GBR,2025,3162138000000.0
211,GBR,2026,3202893000000.0
212,GBR,2027,3244768000000.0
213,GBR,2028,3287691000000.0
214,GBR,2029,3331140000000.0
215,GBR,2030,3374652000000.0
216,GBR,2031,3417955000000.0
217,GBR,2032,3460916000000.0
218,GBR,2033,3503551000000.0
219,GBR,2034,3545934000000.0
220,GBR,2035,3588162000000.0
221,GBR,2036,3630335000000.0
222,GBR,2037,3672596000000.0
223,GBR,2038,3715014000000.0
224,GBR,2039,3757626000000.0
225,GBR,2040,3800457000000.0
226,GBR,2041,3843554000000.0
227,GBR,2042,3886992000000.0
228,GBR,2043,3930816000000.0
229,GBR,2044,3975040000000.0
230,GBR,2045,4019669000000.0
231,GBR,2046,4064725000000.0
232,GBR,2047,4110190000000.0
233,GBR,2048,4156066000000.0
234,GBR,2049,4202370000000.0
235,GBR,2050,4249172000000.0
236,GBR,2051,4296597000000.0
237,GBR,2052,4344710000000.0
238,GBR,2053,4393623000000.0
239,GBR,2054,4443458000000.0
240,GBR,2055,4494356000000.0
241,GBR,2056,4546474000000.0
242,GBR,2057,4599875000000.0
243,GBR,2058,4654600000000.0
244,GBR,2059,4710636000000.0
245,GBR,2060,4767945000000.0
246,USA,2020,19277860060000.0
247,USA,2021,20600684210000.0
248,USA,2022,21333157940000.0
249,USA,2023,21745600000000.0
250,USA,2024,22089590000000.0
251,USA,2025,22435530000000.0
252,USA,2026,22795090000000.0
253,USA,2027,23165430000000.0
254,USA,2028,23542450000000.0
255,USA,2029,23922220000000.0
256,USA,2030,24302080000000.0
257,USA,2031,24680650000000.0
258,USA,2032,25057260000000.0
259,USA,2033,25432210000000.0
260,USA,2034,25805950000000.0
261,USA,2035,26178950000000.0
262,USA,2036,26551860000000.0
263,USA,2037,26925870000000.0
264,USA,2038,27301970000000.0
265,USA,2039,27680920000000.0
266,USA,2040,28063300000000.0
267,USA,2041,28449620000000.0
268,USA,2042,28840510000000.0
269,USA,2043,29236180000000.0
270,USA,2044,29636360000000.0
271,USA,2045,30040560000000.0
